video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.318.862.550,GoradiyaLcarson-w5w,Keberuntungan besar bikin aku makin semangat main lagi di 𝘿ORA𝟽𝟩!,1,keberuntungan bikin semangat main 𝘿ora𝟽𝟩 !,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.318.866.190,AgarwalKeca-b8h,"Keberuntungan besar bikin aku makin cinta sama 𝘼𝘏𝐌𝘼𝐷𝐓𝐎𝑇𝘖, thank you!",1,"keberuntungan bikin cinta 𝘼𝘏𝐌𝘼𝐷𝐓𝐎𝑇𝘖 , thank you !",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.978.718.867.560,MehmetNalan,nyesel bener baru maen di mandalika77 depo receh bisa wd berkali2. kalo dr dulu ud bisa kebeli tuh vespa matic wekekek HAHAHHAHA,1,nyesel bener maen mandalika77 depo receh wd berkali2 . kalo dr ud kebeli tuh vespa matic wekekek hahahhaha,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.318.871.580,rifkimubarak2394,YANG DI TUNGGU TUNGGU AKHIR NYA !!! NAIKIN GAJI EDITOR VIDIO HAHAAH,0,tunggu tunggu nya ! ! ! naikin gaji editor vidio hahaah,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.318.872.890,TraciePiatt,Bawa pulang senyum dari M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1,bawa pulang senyum m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.978.718.874.210,DeedeeHopper,boleh boleh nih jam segini sudah dikasih sama mandalika77,1,nih jam segini dikasih mandalika77,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.318.875.540,DESMONDBeckham-m8h,Sukses slalu mandalika77,1,sukses slalu mandalika77,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,174.000.391.887.942,suchirahmat7733,Waah Bimo tambah kasep pake Jersey timnas. Keren 👍👍🇮🇩🇮🇩🔥🔥,0,waah bimo kasep pake jersey timnas . keren,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.318.882.050,EvreTugsem,Luar biasa orang baik.berkah selalu buat kalian semoga rejekix berlipat ganda.dan slalu di berikan kesehatan. mandalika77 emang top,1,orang baik.berkah semoga rejekix berlipat ganda.dan slalu kesehatan . mandalika77 emang top,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.318.888.630,LANNYHuey,"asik pindah sana pindah sini aja,terus temenku nyaranin main disitus mandalika77 ini eh ternyata beneran gacir dong",1,"asik pindah pindah aja , temenku nyaranin main disitus mandalika77 eh beneran gacir",1
